TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD,ETEER_RUNTIME
D1,all,AutoML,0.88*random_forest + 0.08*gradient_boosting + 0.04*gradient_boosting,,538.598,54.8287,78.4314,0.6991,43440.672,,13.4146,1,st5,11.0,UniqueMappingClustering,0.75,5.134427547454834
D10,all,AutoML,0.88*random_forest + 0.06*gradient_boosting + 0.04*gradient_boosting + 0.02*k_nearest_neighbors,,2288.8816,17.2346,56.117,0.3071,43430.0451,,503.7444,1,st5,84.0,KiralyMSMApproximateClustering,0.8071,19.5623
D2,all,AutoML,0.841*random_forest + 0.082*gradient_boosting + 0.065*gradient_boosting + 0.024*k_nearest_neighbors,,1568.3941,81.5544,85.8486,0.95,43453.541,,476.2028,1,st5,1.0,UniqueMappingClustering,0.753,8.2572
D3,all,AutoML,0.88*random_forest + 0.08*gradient_boosting + 0.04*gradient_boosting,,23.5243,56.9019,59.1887,0.9614,43452.0678,,37.872,1,sminilm,3.0,UniqueMappingClustering,0.6,1.2415285110473633
D4,all,AutoML,0.96*random_forest + 0.04*gradient_boosting,,3249.5067,98.451,98.6011,0.9985,43447.5507,,28.3302,1,st5,1.0,ConnectedComponentsClustering,0.8742,0.3781
D5,all,AutoML,0.82*random_forest + 0.14*extra_trees + 0.04*gradient_boosting,,365.8662,26.7417,78.9235,0.3388,43493.2859,,52.7047,1,sminilm,6.0,ConnectedComponentsClustering,0.85,4.424020528793335
D6,all,AutoML,0.88*random_forest + 0.08*gradient_boosting + 0.04*gradient_boosting,,340.7414,32.7573,60.4225,0.5421,43445.624,,58.3347,1,st5,95.0,ConnectedComponentsClustering,0.8556,7.4975
D7,all,AutoML,0.9*random_forest + 0.06*gradient_boosting + 0.04*gradient_boosting,,397.513,62.1735,67.76,0.9176,43438.5699,,67.9033,1,st5,1.0,UniqueMappingClustering,0.75,2.0479941368103027
D8,all,AutoML,0.9*random_forest + 0.06*gradient_boosting + 0.04*gradient_boosting,,269.5959,40.2703,49.5337,0.813,43431.4983,,58.4841,1,st5,5.0,KiralyMSMApproximateClustering,0.7,4.5681023597717285
D9,all,AutoML,0.94*random_forest + 0.06*gradient_boosting,,2076.766,94.3887,94.9241,0.9944,43430.4042,,40.3751,1,st5,92.0,KiralyMSMApproximateClustering,0.7,35.18276047706604
D1,all,AutoML,0.54*gradient_boosting + 0.36*random_forest + 0.1*gradient_boosting,,319.4926,57.1429,78.4314,0.7286,43218.6062,,61.9368,0,st5,1.0,KiralyMSMApproximateClustering,0.779,0.1106
D10,all,AutoML,0.6*gradient_boosting + 0.36*random_forest + 0.04*gradient_boosting,,794.0894,55.3979,56.117,0.9872,43200.3256,,50.2222,0,st5,1.0,KiralyMSMApproximateClustering,0.1932,13.2568
D2,all,AutoML,0.58*gradient_boosting + 0.32*random_forest + 0.1*gradient_boosting,,304.1842,78.4878,85.8486,0.9143,43197.9433,,36.7287,0,st5,8.0,KiralyMSMApproximateClustering,0.1311,0.4159
D3,all,AutoML,0.62*gradient_boosting + 0.36*random_forest + 0.02*gradient_boosting,,211.4789,57.4176,59.1887,0.9701,43197.2472,,55.5973,0,st5,100.0,KiralyMSMApproximateClustering,0.3017,9.0054
D4,all,AutoML,0.66*gradient_boosting + 0.32*random_forest + 0.02*gradient_boosting,,2148.723,98.1761,98.6011,0.9957,43201.8067,,69.0912,0,st5,21.0,KiralyMSMApproximateClustering,0.3019,1.135
D5,all,AutoML,0.58*gradient_boosting + 0.32*random_forest + 0.1*gradient_boosting,,239.3281,68.9032,78.9235,0.873,43196.6731,,74.6702,0,sminilm,37.0,KiralyMSMApproximateClustering,0.0622,3.3744
D6,all,AutoML,0.34*random_forest + 0.32*gradient_boosting + 0.28*gradient_boosting + 0.06*gradient_boosting,,394.0728,41.0,60.4225,0.6786,43228.2408,,60.8154,0,st5,7.0,KiralyMSMApproximateClustering,0.6073,2.0484
D7,all,AutoML,0.58*gradient_boosting + 0.36*random_forest + 0.06*gradient_boosting,,266.1762,65.4746,67.76,0.9663,43204.3003,,67.9615,0,sminilm,1.0,UniqueMappingClustering,0.6694,1.5578
D8,all,AutoML,0.6*gradient_boosting + 0.38*random_forest + 0.02*gradient_boosting,,579.8295,42.342,49.5337,0.8548,43200.0982,,66.3313,0,st5,37.0,KiralyMSMApproximateClustering,0.8145,4.2157
